delta,epoch,epsilon,test_acc,sigma,clip,lot_size
0.0001,1,0.3503056706957169,0.25874999165534973,1.5,0.17,60
0.0001,2,0.48755458936805474,0.27000001072883606,1.5,0.17,60
0.0001,3,0.5960626088276421,0.27000001072883606,1.5,0.17,60
0.0001,4,0.6894235668904848,0.2849999964237213,1.5,0.17,60
0.0001,5,0.7729821453019203,0.3125,1.5,0.17,60
0.0001,6,0.8495110540702762,0.3762499988079071,1.5,0.17,60
0.0001,7,0.9206723225984165,0.5237500071525574,1.5,0.17,60
0.0001,8,0.9875569350401696,0.4449999928474426,1.5,0.17,60
0.0001,9,1.0509275400008247,0.4962500035762787,1.5,0.17,60
0.0001,10,1.111342265191277,0.5149999856948853,1.5,0.17,60
0.0001,11,1.1692245691505159,0.53125,1.5,0.17,60
0.0001,12,1.2249047515740064,0.6337500214576721,1.5,0.17,60
0.0001,13,1.2786465084991971,0.6625000238418579,1.5,0.17,60
0.0001,14,1.330664400786115,0.6650000214576721,1.5,0.17,60
0.0001,15,1.38113576171467,0.6200000047683716,1.5,0.17,60
0.0001,16,1.4302092645208933,0.7300000190734863,1.5,0.17,60
0.0001,17,1.4780109875501777,0.7325000166893005,1.5,0.17,60
0.0001,18,1.524648998533378,0.6987500190734863,1.5,0.17,60
0.0001,19,1.5702167420044595,0.6662499904632568,1.5,0.17,60
0.0001,20,1.6147956956111453,0.6762499809265137,1.5,0.17,60
0.0001,21,1.658457415301534,0.731249988079071,1.5,0.17,60
0.0001,22,1.7012651433866945,0.7174999713897705,1.5,0.17,60
0.0001,23,1.7432751374388131,0.7225000262260437,1.5,0.17,60
0.0001,24,1.7845376638416757,0.7462499737739563,1.5,0.17,60
0.0001,25,1.8250979058940673,0.7562500238418579,1.5,0.17,60
0.0001,26,1.8649966069939332,0.7762500047683716,1.5,0.17,60
0.0001,27,1.9042707097452163,0.7774999737739563,1.5,0.17,60
0.0001,28,1.9429537930413192,0.7774999737739563,1.5,0.17,60
0.0001,29,1.9810765297214028,0.7787500023841858,1.5,0.17,60
0.0001,30,2.0186669836536852,0.7599999904632568,1.5,0.17,60
0.0001,31,2.055750945262197,0.7749999761581421,1.5,0.17,60
0.0001,32,2.092352177491492,0.7774999737739563,1.5,0.17,60
0.0001,33,2.1284926065566863,0.7774999737739563,1.5,0.17,60
0.0001,34,2.164192553186271,0.7724999785423279,1.5,0.17,60
0.0001,35,2.1994708606105164,0.793749988079071,1.5,0.17,60
0.0001,36,2.2343450716680078,0.7862499952316284,1.5,0.17,60
0.0001,37,2.268831513453353,0.7925000190734863,1.5,0.17,60
0.0001,38,2.302945460420296,0.8012499809265137,1.5,0.17,60
0.0001,39,2.3367011760358376,0.8075000047683716,1.5,0.17,60
0.0001,40,2.3701120435678034,0.8050000071525574,1.5,0.17,60
0.0001,41,2.403190625781718,0.7987499833106995,1.5,0.17,60
0.0001,42,2.4359487313565027,0.8125,1.5,0.17,60
0.0001,43,2.4683974785416813,0.8125,1.5,0.17,60
0.0001,44,2.5005473585599662,0.8174999952316284,1.5,0.17,60
0.0001,45,2.532408270455059,0.8174999952316284,1.5,0.17,60
0.0001,46,2.5639895779460877,0.8087499737739563,1.5,0.17,60
0.0001,47,2.5953001469234835,0.8062499761581421,1.5,0.17,60
0.0001,48,2.626348379135208,0.8149999976158142,1.5,0.17,60
0.0001,49,2.657142247571784,0.8100000023841858,1.5,0.17,60
0.0001,50,2.6876893249063643,0.8187500238418579,1.5,0.17,60
0.0001,51,2.71799681509135,0.8187500238418579,1.5,0.17,60
0.0001,52,2.7480715714018866,0.8137500286102295,1.5,0.17,60
0.0001,53,2.7779201292701816,0.8174999952316284,1.5,0.17,60
5e-05,1,0.3806730154589144,0.25,1.5,0.17,60
5e-05,2,0.5253746288727184,0.25,1.5,0.17,60
5e-05,3,0.6396947530626519,0.2849999964237213,1.5,0.17,60
